kind	name	used_in	purpose	rust	notes
py-stdlib	importlib.metadata	localbench/__main__.py,localbench/audit.py	version('localbench') for `--version` (PackageNotFoundError when run from a tree that was never installed)	env!("CARGO_PKG_VERSION") at compile time	the Python value is the installed dist's metadata, so an editable install reports pyproject's version
py-stdlib	json	localbench/__main__.py,localbench/backends.py,localbench/client.py,localbench/golden.py,localbench/models.py,localbench/observe.py,localbench/park.py,localbench/proxy.py,localbench/render.py,localbench/sysstats.py,localbench/workloads.py,scripts/probe-memory-overhead.py,scripts/probe-side-work.py,localbench/doctor.py,localbench/audit.py	loads/dumps everywhere: summary.json, goldens (indent=2, sort_keys=True), receipts and PARKED.json (indent=2, default=str), progress/samples/sampler/calls JSONL (json.dumps default separators), SSE payloads, omp event lines, fixture bodies (indent=1), render.subtree (separators=(',',':'), ensure_ascii=False)	serde_json with feature preserve_order (insertion order) + explicit key sort for goldens; custom Formatter where bytes must match	HARD byte-compat: Python's default ensure_ascii=True escapes non-ASCII (\u2014) where serde_json writes UTF-8; compact dumps use ', ' and ': ' (serde: ',' ':'); float repr differs in edge cases (1e16 vs 1e+16); Python accepts/emits NaN and Infinity, serde rejects them; default=str stringifies Path/other. goldens/*.json are git-reviewed, so the port reproduces the format or re-banks
py-stdlib	math	localbench/render.py	isfinite (render.num / render.rounded: inf and nan pass through as text)	f64::is_finite (std)	render.rounded also uses round() and f'{v:.4g}' (see statistics row: Python round is round-half-even on the decimal repr)
py-stdlib	os	localbench/__main__.py,localbench/park.py,localbench/sysstats.py,localbench/workloads.py,localbench/doctor.py,localbench/audit.py	environ (child env, LOCALBENCH_*), getloadavg, statvfs, path.basename, dup2 + open(os.devnull) (stdout to /dev/null after BrokenPipeError)	std::env::{var, vars}; libc::getloadavg; nix::sys::statvfs::statvfs; Path::file_name; nix::unistd::dup2 + File::open("/dev/null")	see os rows for the process-level behaviors
py-stdlib	pathlib	localbench/__main__.py,localbench/backends.py,localbench/golden.py,localbench/memory.py,localbench/models.py,localbench/observe.py,localbench/park.py,localbench/proxy.py,localbench/render.py,localbench/sysstats.py,localbench/workloads.py,scripts/probe-memory-overhead.py,scripts/probe-side-work.py,localbench/doctor.py,localbench/audit.py	Path arithmetic, glob/rglob, read_text/write_text/read_bytes/write_bytes, open('a'), mkdir(parents, exist_ok), symlink_to, unlink, stat (st_mtime, st_mtime_ns, st_size), resolve, expanduser, home, relative_to, with_suffix	std::path::{Path, PathBuf} + std::fs; glob crate for glob patterns; walkdir for rglob; std::os::unix::fs::symlink; std::env::home_dir (un-deprecated in Rust 1.87) or the home crate	Path.resolve() does not fail on a missing path (std::fs::canonicalize does); glob/rglob order is unspecified in both: the code sorts where order matters (fixtures_sha, banks)
py-stdlib	platform	localbench/doctor.py	doctor's platform row: system() + machine() (Darwin/arm64 or FAIL), mac_ver(), python_version()	std::env::consts::{OS, ARCH}; macOS version from sysctl kern.osproductversion; the Python row has no Rust equivalent (a binary has no interpreter)	—
py-stdlib	plistlib	localbench/sysstats.py,localbench/doctor.py	loads on each NUL-separated plist document streamed by powermetrics -f plist	plist crate (plist::Value::from_reader_xml / plist::from_bytes)	documents are XML plists split on b'\0'; parse errors would kill the reader thread in Python (unhandled)
py-stdlib	queue	localbench/workloads.py	Queue for the omp --mode rpc stdout pump (get with timeout; None = EOF)	crossbeam-channel (recv_timeout) or std::sync::mpsc::Receiver::recv_timeout	EOF sentinel -> channel disconnect (RecvTimeoutError::Disconnected)
py-stdlib	random	localbench/workloads.py	Random(7) / Random(11) corpus() (sample, choice, randint) -> deterministic prompt bytes for micro/conf tiers; Random() unseeded for mem/sess facts	seeded corpus: freeze CPython's output as fixture files (include_str!) rather than emulate; if emulated, rand_mt (MT19937) + CPython's init_by_array, _randbelow (getrandbits rejection), sample() and choice() algorithms; unseeded: rand or fastrand	HARD: any RNG difference changes the prompts, hence prompt_tokens and every micro/conf metric (new generation for those rows)
py-stdlib	re	localbench/golden.py,localbench/memory.py,localbench/models.py,localbench/park.py,localbench/sysstats.py	regexes over tool output (ioreg, top, ps, lsof, pmset, sysctl, memory_pressure, system_profiler), DISCREPANCIES.md grammar, omp config.yml smol line (MULTILINE), golden.slug, host_id, memory.HARNESS_CWD, models._family	regex crate (all patterns are RE2-compatible: no lookaround or backrefs); re.MULTILINE -> (?m)	Python str patterns are Unicode-aware (\d \w \s \b), as is the regex crate by default; re.escape -> regex::escape
py-stdlib	secrets	localbench/audit.py	token_hex(3): the 6-hex suffix of an audit row id (<UTC stamp>-<6 hex>)	rand::random::<[u8; 3]>() + hex, or getrandom	not security-bearing: it only keeps two rows in one second apart
py-stdlib	shutil	localbench/backends.py,localbench/memory.py,localbench/workloads.py,localbench/doctor.py	which('omp'), which('mlx-serve'); rmtree (mnemopi banks, /tmp harness dirs; ignore_errors in tiers)	which crate; std::fs::remove_dir_all (ignore the Result where Python passes ignore_errors=True)	which reads PATH (env row)
py-stdlib	signal	localbench/quiet.py	SIGSTOP / SIGCONT constants for `localbench quiet` (os.kill on omp's managed browser)	nix::sys::signal::Signal	—
py-stdlib	socket	localbench/backends.py,localbench/audit.py	connect_ex((host, port)) before starting mlx-serve or oMLX: a port answering another program refuses the start (2026-09-24: :8765 was the Agent Mail MCP server)	std::net::TcpStream::connect_timeout	—
py-stdlib	sqlite3	localbench/memory.py,localbench/observe.py,localbench/sysstats.py	connect: runs/observe.db (timeout=10, pragma journal_mode=wal, executescript schema, executemany inserts in `with con:` transactions, joins in report) and mnemopi.db read-only (URI file:...?mode=ro, timeout=2; sqlite_master, pragma table_info, json_extract); Ollama.app db.sqlite read-only (URI, timeout=2; one settings row)	rusqlite (feature bundled: pinned SQLite with JSON1; OpenFlags::SQLITE_OPEN_READ_ONLY | SQLITE_OPEN_URI; busy_timeout; Transaction)	see sqlite rows for schemas; Python's `with con:` commits/rolls back but does not close
py-stdlib	statistics	localbench/golden.py,localbench/sysstats.py,localbench/workloads.py,scripts/probe-memory-overhead.py,scripts/probe-side-work.py	median, fmean (golden A/A mean, metric summaries), pstdev (probe cv%)	hand-rolled (median, mean, population stdev; ~15 lines) or statrs	fmean sums with math.fsum (exact): use a Neumaier/Kahan sum to match; median of even n averages the two middle values; Python round(x, 4) (used on every metric) is round-half-even on the correctly rounded decimal, unlike f64::round -> port a decimal-correct round (format!("{:.4}") is also half-even on the exact binary value)
py-stdlib	subprocess	localbench/__main__.py,localbench/backends.py,localbench/models.py,localbench/park.py,localbench/sysstats.py,localbench/workloads.py,scripts/probe-memory-overhead.py,scripts/probe-side-work.py,localbench/doctor.py	run(capture_output, text, timeout, check=False, cwd, env, stdin=DEVNULL), Popen (mlx-serve with stdout+stderr to a log file; powermetrics and top streams; omp rpc with stdin/stdout pipes, bufsize=1), terminate/kill/poll/wait(timeout), TimeoutExpired, DEVNULL/PIPE/STDOUT	std::process::Command + wait-timeout crate (Child::wait_timeout); Child::kill (SIGKILL); nix::sys::signal::kill(pid, SIGTERM) for terminate()	subprocess.run(timeout) kills and reaps on timeout (sysstats._run then returns ""); std has no run-with-timeout; text=True decodes strictly as UTF-8 (String::from_utf8 vs _lossy is a choice to make explicitly)
py-stdlib	sys	localbench/__main__.py,localbench/proxy.py,scripts/probe-memory-overhead.py,scripts/probe-side-work.py,localbench/doctor.py	exit(msg) (stderr + rc 1), stderr prints, stdout.flush/fileno, exc_info in the proxy's handle_error, argv in scripts	std::process::exit / return ExitCode from main; eprintln!; std::io::stdout().flush(); std::env::args	exit codes are contract: 0, 1 unsound/refused, 2 usage, 141 closed stdout (see os rows)
py-stdlib	tempfile	localbench/backends.py,scripts/probe-memory-overhead.py,scripts/probe-side-work.py	mkdtemp(prefix='lbside-overlays-' / 'lbmem-overlays-') for omp config overlays in the probes; mkdtemp(prefix='localbench-omlx-') per oMLX start: a one-model --model-dir symlink and its paged SSD cache (removed on stop)	tempfile crate (Builder::new().prefix(..).tempdir()?.keep())	probes keep the dir (never removed); reads TMPDIR (env row)
py-stdlib	threading	localbench/proxy.py,localbench/sysstats.py,localbench/workloads.py	Thread(daemon=True) for Sampler, PowerSampler, CpuSampler, proxy serve_forever, rpc pump; Event (sampler stop + interval wait); Lock (proxy body counter and calls-log appends)	std::thread::spawn + std::sync::{Mutex, atomic}; Event -> crossbeam-channel recv_timeout (or Condvar)	daemon threads die with the process; Rust threads must be joined or deliberately leaked; Sampler timing: first sample waits one interval
py-stdlib	time	localbench/__main__.py,localbench/backends.py,localbench/client.py,localbench/memory.py,localbench/models.py,localbench/observe.py,localbench/proxy.py,localbench/sysstats.py,localbench/workloads.py,localbench/park.py,scripts/probe-memory-overhead.py,scripts/probe-side-work.py,localbench/audit.py	time() wall timestamps (JSONL t/t_start, park-history.jsonl t, window matching between proxy rows and omp attempts), perf_counter (TTFT, walls), monotonic (rpc deadlines), sleep, strftime + localtime (display)	std::time::{SystemTime, UNIX_EPOCH, Instant}; std::thread::sleep; jiff (Zoned::now / strftime) for local time	t values are epoch float seconds; park windows compare process start against those epochs
py-stdlib	typing	localbench/__main__.py,localbench/backends.py,localbench/proxy.py,localbench/sysstats.py	Self return annotations on context managers; NoReturn on __main__._usage	none: Self is native in Rust; NoReturn is `-> !`	type-only
py-stdlib	urllib.error	localbench/models.py,localbench/proxy.py,localbench/sysstats.py	URLError (reason ConnectionRefusedError => server down), HTTPError (status code; the proxy forwards an error response as the response)	ureq::Error (StatusCode(u16), Io(e) with e.kind() == ConnectionRefused / TimedOut)	sysstats._json returns {} on refused and None on timeout: the three states (answer / down / unknown) must survive the port
py-stdlib	urllib.parse	localbench/models.py	urlencode for the Hugging Face list query (author, search, sort, direction, limit)	url crate (url::form_urlencoded::Serializer or Url::query_pairs_mut)	urlencode uses quote_plus (space -> '+'), as form_urlencoded does
py-stdlib	urllib.request	localbench/backends.py,localbench/client.py,localbench/models.py,localbench/park.py,localbench/proxy.py,localbench/sysstats.py	urlopen/Request: GET/POST/DELETE JSON to ollama, mlx-serve, Splash, registry, HF (timeouts 2 s .. 3600 s); streaming SSE read line by line (client.chat_stream, proxy upstream)	ureq 3 (blocking; Agent with timeout_global; body().as_reader() + BufRead::read_until(b'\n') for SSE; http_status_as_error(false) in the proxy)	urllib opens a fresh TCP connection per request (no pool): ureq's Agent pools keep-alive connections, which can shift TTFT; disable pooling or measure both. Default headers differ (Python-urllib/3.x UA; models._fetch sets User-Agent: localbench)
py-stdlib	uuid	localbench/workloads.py	uuid4().hex: request nonces (prefix-cache busting) and mem/sess run ids	uuid crate (feature v4): Uuid::new_v4().simple().to_string()	32 lowercase hex, no dashes
subprocess	omp	localbench/__main__.py,localbench/models.py,localbench/park.py,localbench/workloads.py,scripts/probe-memory-overhead.py,scripts/probe-side-work.py	resolved by workloads.omp_bin() (LOCALBENCH_OMP or PATH): --version; -p <prompt> --model localbench/<m> --smol localbench/<m> --config <overlay> --mode json --no-session <lean flags> (e2e, rel*, mem, record, probes); --mode rpc … --max-time 30m (sess); [--profile P] config list --json (park.local_routes); tiny-models list --json (models)	keep: shell out (omp is the system under test) via std::process::Command with omp_env() (env_remove), cwd per attempt, Stdio::null() or piped for rpc	~/.bun/bin/omp is a symlink to a Bun JS entry (…/@oh-my-pi/pi-coding-agent/dist/cli.js): omp_sha hashes that script, not a native binary. rpc needs a stdout pump thread; closing stdin makes omp dispose the session (retention)
subprocess	mlx-serve	localbench/backends.py	resolved by backends.mlx_serve_bin() (LOCALBENCH_MLX_SERVE or PATH): --version ('mlx-serve X' after '[mem] MLX buffer-pool cap …' noise); --model <dir> --serve --host 127.0.0.1 --port 11234 --metrics [extra args minus --prefix-cache-disk*], stdout+stderr appended to /tmp/<dir>.mlx-serve.log; ready = GET /v1/models; stop = SIGTERM, 30 s, SIGKILL	std::process::Command (Stdio::from(log_file) + try_clone for stderr) + wait-timeout; readiness poll with ureq	_first_line skips lines starting '[mem]' (mlx-serve prints its MLX buffer-pool cap first); binary resolved with which for the sha pin (Homebrew Cellar path)
subprocess	ollama	localbench/backends.py,localbench/__main__.py	--version via _first_line ('ollama version is X') for the backend_version pin; `create <name> -f <Modelfile> [--quantize q]` (localbench create: safetensors import runs in this process on the GPU, env OLLAMA_MODELS = sysstats.ollama_models_dir())	keep: shell out (std::process::Command); or GET /api/version on the server	PATH's ollama is /usr/local/bin/ollama -> /Applications/Ollama.app/Contents/Resources/ollama here, but backend_sha hashes the .app path directly: version and hash could come from different binaries on another host
subprocess	splash	localbench/backends.py	--version via _first_line ('Splash X' -> version pin); sha16 of shutil.which('splash')	keep: shell out (std::process::Command)	recorded on a run only when Splash is the backend or resident; does not measure the model
subprocess	git	localbench/__main__.py,scripts/tick_driver.py	-C <root> rev-parse --short HEAD and status --porcelain localbench (localbench_rev provenance); -C <root> show <rev>:<golden path> (show --diff); scripts/tick_driver.py: rev-parse --short HEAD (a tick that finds HEAD unmoved moved nothing)	keep: shell out (three read-only calls; gix is heavy for this)	dirty only considers localbench/ (fixture or golden edits do not mark a run -dirty)
subprocess	sudo	localbench/sysstats.py	-n -l /usr/bin/powermetrics (grant check), -n /usr/bin/powermetrics … (stream), -n /usr/sbin/purge	keep: shell out via std::process::Command (never setuid the Rust binary; the grant is per-binary in /etc/sudoers.d/localbench)	-n never prompts: the return code is the whole signal; terminate() signals sudo, which relays SIGTERM to powermetrics
subprocess	/usr/bin/powermetrics	localbench/sysstats.py	run through sudo -n: --samplers gpu_power,cpu_power,ane_power,thermal -i 1000 -f plist, streamed for the whole run	keep: shell out via sudo -n (root-only; no public API for these counters) + plist crate for the stream	optional: without the sudoers grant the PowerSampler reports available=false instead of numbers
subprocess	/usr/sbin/purge	localbench/sysstats.py	run through sudo -n when --purge: drops the unified buffer cache before a cold load	keep: shell out via sudo -n (root-only)	optional (--purge); returns only rc
subprocess	ioreg	localbench/sysstats.py	-r -d 1 -w 0 -c IOAccelerator (device/renderer/tiler utilization %, in-use system memory) and -r -d 1 -w 0 -c AGXDeviceUserClient (per-client AppUsage accumulatedGPUTime + IOUserClientCreator 'pid N, name')	io-kit-sys + core-foundation (IOServiceGetMatchingServices(IOServiceMatching("IOAccelerator")), IORegistryEntryCreateCFProperty("PerformanceStatistics"); iterate AGXDeviceUserClient entries reading IOUserClientCreator and AppUsage); objc2-io-kit as the maintained alternative; keep: shell out as fallback	HARD: unprivileged but Apple-private, undocumented keys (may move per macOS); the text parser depends on ioreg's sorted key order inside each client block (AppUsage before IOUserClientCreator) — a native read per registry entry removes that hazard. 1 Hz in Sampler + once a minute in watch
subprocess	/usr/bin/top	localbench/sysstats.py	-l 2 -s N -n 1 (cpu_busy_pct: preflight) and -l 0 -s N -n 1 streamed (CpuSampler during runs)	mach2/libc host_processor_info (per-CPU tick deltas) for busy %; or sysinfo::System::global_cpu_usage; keep: shell out only if top-identical numbers are required	absolute path avoids PATH shadowing; first sample covers time since boot and is dropped; preflight threshold 25% busy
subprocess	ps	localbench/sysstats.py,localbench/park.py	-o pid=,command= -p <pids> (GPU row command lines, ollama runner --model); eww -o command= -p <pid> (client env: OMP_PROFILE / PI_PROFILE); -o command= -p <pid>; -Ao pid=,pcpu=,rss=,comm= -r (top CPU processes); -o lstart= -p <pid> with LC_ALL=C (park.process_started)	sysinfo (Process::cmd, environ, cpu_usage, memory, start_time) or libproc + sysctl KERN_PROCARGS2 for argv/env; keep: shell out for `ps -r` pcpu and for lstart's text	ps pcpu is a decaying average, sysinfo cpu_usage is a delta between refreshes (different numbers); env of other processes is visible only for same-uid processes on macOS (KERN_PROCARGS2 has the same limit); lstart is local time in C locale
subprocess	nettop	localbench/sysstats.py	-m tcp -L 1 -n -J bytes_in,bytes_out (one sample, ~0.15 s, no privileges): connection_bytes maps (server port, client port) to cumulative (bytes_in, bytes_out) for loopback connections whose server port is an inference port	keep: shell out (no public API for per-connection byte counters)	counters are cumulative per connection; a connection that opens and closes between samples is invisible; an idle keep-alive yields a zero delta
subprocess	lsof	localbench/sysstats.py,localbench/smol.py	-nP -iTCP -sTCP:ESTABLISHED -Fpcn (processes with loopback connections to :11434/:11234/:11299/:8000); -a -p <pid> -d cwd -Fn (client cwd); -nP -iTCP:<port> -sTCP:LISTEN -t (smol.listener_pid: the pid stop signals, never the saved one)	libproc crate (proc_pidinfo ListFDs + pidfdinfo SocketFDInfo for TCP state and ports; PROC_PIDVNODEPATHINFO for cwd); keep: shell out is acceptable (lsof ships with macOS)	lsof over every process is slow (~0.3-1 s) and runs once a minute in watch and per `localbench gpu`; field-mode output contract in text-format rows
subprocess	launchctl	localbench/smol.py	smol autostart: bootstrap gui/<uid> ~/Library/LaunchAgents/com.localbench.smol.plist; bootout gui/<uid>/com.localbench.smol; kickstart (start after park/stop); print (state = running while waiting for the server)	shell out (no stable Rust binding to launchd's private XPC API); plist via the plist crate	the job runs mlx-serve directly so macOS privacy charges the mlx-serve binary: it needs Full Disk Access to read /Volumes/Models; bootout also stops the running job
subprocess	sysctl	localbench/sysstats.py	-n <name> via sysstats._sysctl: vm.swapusage, kern.memorystatus_vm_pressure_level, machdep.cpu.brand_string, hw.memsize, hw.model, hw.perflevel0.physicalcpu, hw.perflevel1.physicalcpu, iogpu.wired_limit_mb	sysctl crate (Ctl::new(name).value()) or libc::sysctlbyname; vm.swapusage via libc::xsw_usage struct	text contract: `sysctl -n vm.swapusage` formats the xsw_usage struct as 'total = …M  used = …M  free = …M'; read xsu_used natively instead of reparsing text. iogpu.wired_limit_mb 0 -> None
subprocess	memory_pressure	localbench/sysstats.py	-Q -> 'free percentage: N%'	keep: shell out (the free-percentage formula is memory_pressure's own); host_statistics64 (libc) can approximate	sampled at 1 Hz inside live()
subprocess	system_profiler	localbench/sysstats.py	SPDisplaysDataType -json -> sppci_cores (GPU core count), timeout 20 s	keep: shell out once per snapshot and parse with serde_json; or IOKit AGXAccelerator 'gpu-core-count' property	slow (~1-2 s); the code regexes the JSON text, value may be a string or an int
subprocess	sw_vers	localbench/sysstats.py	-productVersion, -buildVersion (macos, macos_build pin)	sysctl crate: kern.osproductversion and kern.osversion give the same strings without a process	macos_build is a golden pin for every tier
subprocess	hostname	localbench/sysstats.py	-s (short host name; first component of host_id)	hostname crate (gethostname) or libc::gethostname, cut at the first '.'	host_id = slug(hostname-chip-memGBgb) names goldens/<host_id>/: any difference moves every golden
subprocess	pmset	localbench/__main__.py,localbench/sysstats.py	-g ps (AC Power / Battery Power), -g therm (thermal warning text), -g (lowpowermode 0/1); `pmset displaysleepnow` for `localbench quiet --display` (rc checked, failure reported)	keep: shell out (three cheap calls); native: IOPSCopyPowerSourcesInfo (core-foundation) + NSProcessInfo thermalState / isLowPowerModeEnabled (objc2-foundation)	recorded per snapshot, not judged
subprocess	tmux	scripts/tick_driver.py	capture-pane -p -t <pane> (is the agent pane mid-turn: omp's footer spinner or 'Working'); capture-pane -p -J -t <pane> -S -600 (did the message's op-id arrive)	keep: shell out (tmux is the pane transport; no library)	needs the tmux socket: the driver reads no env, so TMUX_TMPDIR comes from whoever launches it
subprocess	ntm	scripts/tick_driver.py	send <session> --pane=<pane> --file=<msg> --no-cass-check (deliver a tick or the handoff)	keep: shell out (ntm owns the pane transport contract)	exit 0 is sender success only; delivery is proven by the op-id in the receiving pane's scrollback
subprocess	pgrep	scripts/tick_driver.py	-f 'localbench (aa|run|ab|record)' (a measurement is alive: never wake the agent then)	sysinfo crate process list with a regex over argv; or keep the shell out	exit 1 means no match, not an error
subprocess	uv	scripts/mutate.py	run --quiet python -m unittest <tests> (the project's test command) with PYTHONPYCACHEPREFIX set to a fresh temp dir per run	std::process::Command running `cargo test <filter>`; the stale-cache rule becomes a clean target dir or `cargo test` rebuild on mtime+hash	the fresh bytecode cache is load-bearing: .pyc files validate by whole-second mtime and size, so a same-size plant can run stale code
subprocess	bun	localbench/park.py	run scripts/omp-resolve.ts <omp package dir> ollama/<smol target> <installed ids...>: omp's own resolveModelFromString, one JSON line {picked}	keep: shell out to bun (the resolver is omp's TypeScript; a port must call the omp it measures, not re-derive it)	the package dir is realpath(omp_bin()).parent.parent; the resolver's answer changes with omp releases by design
subprocess	omlx	localbench/backends.py	serve --model-dir <tmp>/models (one symlink) --host 127.0.0.1 --port 11236 --paged-ssd-cache-dir <tmp>/cache --no-hf-cache [extra args], stdout+stderr appended to /tmp/<dir>.omlx.log; version from /api/status, sha16 of the installed package RECORD	keep: shell out (std::process::Command)	oMLX 0.7.0rc1 wheel installed as a uv tool (Python 3.13); precompiled Metal kernels ship in the wheel
subprocess	hf	localbench/__main__.py	`hf download <org>/<repo> --revision <sha> --local-dir <dir>` (localbench pull hf:...; env HF_HUB_DISABLE_UPDATE_CHECK=1, HF_TOKEN inherited from the caller, never read by localbench)	keep: shell out (std::process::Command), or the hf-hub crate with resumable downloads	Homebrew huggingface-cli 1.4.1 at /opt/homebrew/bin/hf; gated repos answer 403 until the token's account is granted access
http	GET ollama /api/ps	localbench/backends.py,localbench/park.py,localbench/sysstats.py	loaded models: models[].name, context_length (isolate, fingerprint loaded_context, unpark, resident_models at 1 Hz)	ureq GET + serde_json; timeout 120 s in the adapter, 2 s in sysstats	the scheduler stalls /api/ps for seconds while loading: adapter waits it out; sysstats reports None (unknown) on timeout vs [] on refused
http	GET ollama /api/tags	localbench/backends.py,localbench/models.py,localbench/park.py	installed models: models[].name, digest, size, remote_host (model_digest pin = digest[:12]; park digests; models freshness)	ureq GET + serde_json	digest arrives as bare hex here; park strips an optional 'sha256:' prefix
http	POST ollama /api/generate	localbench/backends.py,localbench/park.py,localbench/__main__.py,scripts/break-preflight.sh	{"model", "keep_alive": 0} unloads a model (isolate, park, unpark, unload_ollama); break-preflight.sh loops a real generation (stream false, num_predict 400) to load the GPU	ureq POST JSON (timeout 600 s)	unload returns after the model is evicted; the harness relies on it to guarantee one model on the machine
http	POST ollama /api/show	localbench/backends.py	{"model"} -> details.quantization_level, details.parameter_size, model_info['general.architecture'] (fingerprint)	ureq POST JSON + serde_json::Value	fingerprint only; not a pin
http	DELETE ollama /api/delete	localbench/park.py	{"model"} removes a name (park deletes the original after copying; unpark deletes the parked copy)	ureq DELETE with a JSON body (ureq 3: .force_send_body())	HTTP DELETE with a body: some clients refuse by default
http	POST ollama /api/copy	localbench/park.py	{"source", "destination"} creates localbench-parked:<digest12> (park) or restores the name (unpark); digests re-read and compared before any delete	ureq POST JSON	weights are shared blobs: no bytes copied
http	POST ollama /v1/chat/completions	localbench/client.py,localbench/backends.py,localbench/proxy.py	OpenAI-compatible chat: streaming SSE with stream_options.include_usage (client.chat_stream, every tier) and a non-streaming max_tokens=1 warm-up (backends._warm); upstream of the proxy	ureq POST + BufRead line reader over the body; Bearer 'local' header	timing contract in text-format 'OpenAI chat-completions SSE'; timeout 1800 s per request
http	GET mlx-serve /v1/models	localbench/backends.py,localbench/sysstats.py,localbench/__main__.py	readiness probe (2 s), served model ids (exactly one), fingerprint (context_length, meta.architecture, quantization, mtp_loaded), resident_models	ureq GET + serde_json	open_backend refuses an ollama run while this answers
http	POST mlx-serve /v1/chat/completions	localbench/client.py,localbench/backends.py,localbench/proxy.py	same as the ollama /v1 path (streaming timing, warm-up, proxy upstream)	ureq (shared client code with the ollama row)	mlx-serve honours thinking=false on side calls where ollama does not (ledger)
http	GET splash /v1/models	localbench/sysstats.py	Inco Splash's served model ids (a listed model is resident)	ureq GET + serde_json	observation only: localbench never sends Splash inference
